Type,In,Out,Factor,source_files
Acide urique,µmol/l,mg/l,"0,168",conversion.csv | facteurs_conversion.csv
Acide urique,mg/l,µmol/l,"5,948",conversion.csv | facteurs_conversion.csv
Acide urique,mg/24h,mmol/24h,"0,005952",conversion.csv | facteurs_conversion.csv
Acide urique,mmol/24h,mg/24h,168,conversion.csv | facteurs_conversion.csv
Albumine,g/l,µmol/l,15,conversion.csv | facteurs_conversion.csv
Albumine,µmol/l,g/l,"0,0667",conversion.csv | facteurs_conversion.csv
Albumine,g/l,g/dl,"0,1",conversion.csv | facteurs_conversion.csv
Albumine,g/dl,g/l,10,conversion.csv | facteurs_conversion.csv
Albumine,µmol/l,g/dl,"0,00689",conversion.csv | facteurs_conversion.csv
Albumine,g/dl,µmol/l,145,conversion.csv | facteurs_conversion.csv
Bilirubine,µmol/l,mg/l,"0,58",conversion.csv | facteurs_conversion.csv
Bilirubine,mg/l,µmol/l,"1,71",conversion.csv | facteurs_conversion.csv
Bilirubine,mg/l,µmol/l,17,conversion.csv | facteurs_conversion.csv
Bilirubine,µmol/l,mg/l,"0,059",conversion.csv | facteurs_conversion.csv
Calcemie,mg/l,µmol/l,"0,03",conversion.csv | facteurs_conversion.csv
Calcemie,µmol/l,mg/l,40,conversion.csv | facteurs_conversion.csv
Calcium,mmol/l,mg/l,40,conversion.csv | facteurs_conversion.csv
Calcium,mg/l,mmol/l,"0,025",conversion.csv | facteurs_conversion.csv
Calcium,mg/dl,mmol/l,"0,25",conversion.csv | facteurs_conversion.csv
Calcium,mmol/l,mg/dl,4,conversion.csv | facteurs_conversion.csv
Calcium,g/l,mg/dl,100,conversion.csv | facteurs_conversion.csv
Calcium,mg/dl,g/l,"0,01",conversion.csv | facteurs_conversion.csv
Calcium,g/l,mmol/l,"24,9513",conversion.csv | facteurs_conversion.csv
Calcium,mmol/l,g/l,"0,040078",conversion.csv | facteurs_conversion.csv
CCMH,g/l,g/dl,"0,1",conversion.csv | facteurs_conversion.csv
CCMH,g/dl,g/l,10,conversion.csv | facteurs_conversion.csv
CCMH,g/100ml,mmol/l,"0,6",conversion.csv | facteurs_conversion.csv
CCMH,mmol/l,g/100ml,2,conversion.csv | facteurs_conversion.csv
CCMH,g/dl,g/100ml,1,conversion.csv | facteurs_conversion.csv
CCMH,g/100ml,g/dl,1,conversion.csv | facteurs_conversion.csv
